Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
"Bowling For Soup, Punk Rock Factory, Wheatus - Endless Possibility",BowlingForSoupVEVO,2025-11-17 14:01:33+00:00,10,66550,13250,1108,0.1990954306,0.01664888582,236
IT: Welcome to Derry (2025) | Episode 5 Trailer | HBO Max,TeaserCon,2025-11-17 01:30:35+00:00,1,157413,2686,213,0.01706328535,0.001353119799,38
The best MULTIPLAYER Backrooms game's FULL RELEASE is here. (Escape The Backrooms 1.0 - ALL Endings),8-BitRyan,2025-11-17 19:00:44+00:00,20,149274,10026,625,0.06716462904,0.004186903366,10987
Hace Tiempo En El Gabacho,Cris Mejia - Topic,2025-11-14 04:53:21+00:00,10,36443,600,24,0.01646361541,0.0006585446164,203
The Beatles Anthology | Official Trailer | Disney+,The Beatles,2025-11-17 14:55:08+00:00,10,116340,8170,529,0.07022459838,0.004546978279,146
Can I Survive Infinite Goblins in Gnomoria?,Reggie,2025-11-17 13:50:09+00:00,20,462112,36697,1699,0.07941131282,0.003676589925,2679
Hate me all you want,Breaking Rust - Topic,2025-11-13 10:03:49+00:00,10,93438,4764,52,0.05098513469,0.0005565128051,185
What The Hell Is Disney Doing With Moana??,DazzReviews,2025-11-18 01:26:26+00:00,1,41756,2061,423,0.04935699404,0.01013003808,1054
Python Full Course for Beginners,Programming with Mosh,2019-02-18 15:00:08+00:00,27,46262391,1222760,61153,0.02643097227,0.001321872851,22447
Python for Beginners - Learn Coding with Python in 1 Hour,Programming with Mosh,2020-09-16 13:00:20+00:00,27,23108733,530447,26468,0.02295439465,0.001145367808,3606
But what is a neural network? | Deep learning chapter 1,3Blue1Brown,2017-10-05 15:11:25+00:00,27,21325565,511165,8487,0.02396958655,0.0003979730245,1120
AI Learns to Walk (deep reinforcement learning),AI Warehouse,2023-04-23 15:16:23+00:00,24,12181385,233272,9924,0.01914987342,0.0008146856195,520
AI Learns to Dodge  #ai #deeplearning #aiwarehouse,AI Warehouse,2024-07-20 04:11:42+00:00,24,11628193,524073,2175,0.04506916551,0.000187045383,40
Deep Learning Cars,Samuel Arzt,2016-10-23 15:48:14+00:00,28,11360687,81443,2768,0.007168844,0.0002436472157,199
